path,level,slug,text
_template.md,2,domande-a-cui-risponde,"Domande a cui risponde"
_template.md,2,contenuto,"Contenuto"
ado-operating-model.md,2,obiettivo,"Obiettivo"
ado-operating-model.md,2,struttura-backlog-consigliata,"Struttura backlog (consigliata)"
ado-operating-model.md,2,aree-area-path,"Aree (Area Path)"
ado-operating-model.md,2,iterazioni-iteration-path,"Iterazioni (Iteration Path)"
ado-operating-model.md,2,kanban-ams-infra,"Kanban (AMS + Infra)"
ado-operating-model.md,2,sprint-business,"Sprint (Business)"
ado-operating-model.md,2,integrazione-agentica-automazione,"Integrazione agentica (automazione)"
agent-first-method.md,2,best-practice-per-le-ricette-kb,"Best practice per le Ricette KB"
agent-first-method.md,2,badges-guardrail,"Badges & Guardrail"
agent-manifest-and-indexing-best-practices.md,2,obiettivo,"Obiettivo"
agent-manifest-and-indexing-best-practices.md,2,manifest-jsonl-consumo-per-agenti,"Manifest JSONL (consumo per agenti)"
agent-manifest-and-indexing-best-practices.md,2,anchors-csv-richiami-di-sezione,"Anchors CSV (richiami di sezione)"
agent-manifest-and-indexing-best-practices.md,2,compatibilit-multiformato,"Compatibilità multi‑formato"
agent-manifest-and-indexing-best-practices.md,2,come-generare-gli-artefatti,"Come generare gli artefatti"
agent-manifest-and-indexing-best-practices.md,2,buone-pratiche,"Buone pratiche"
agent-manifest-and-indexing-best-practices.md,2,domande-a-cui-risponde,"Domande a cui risponde"
agent-output-validation-ci.md,2,vedi-anche,"Vedi anche"
agent-priority-and-checklists.md,2,vedi-anche,"Vedi anche"
agentic-portal-vision.md,2,workflow-agentici,"Workflow agentici"
agentic-portal-vision.md,2,esperienza-utente-per-non-esperti-proposte-e-spunti,"Esperienza utente per non esperti: proposte e spunti"
agents-governance.md,2,agent-workflow-standard-pattern-3-step,"Agent Workflow Standard (Pattern 3-Step)"
best-practices-token-tuning-roadmap.md,2,obiettivo,"Obiettivo"
best-practices-token-tuning-roadmap.md,2,1-best-practices-per-la-riduzione-token-e-lai-readiness,"1. Best Practices per la Riduzione Token e l’AI-Readiness"
